;Alsace;Aquitaine;Auvergne;Basse-Normandie;Bourgogne;Bretagne;Centre;Champagne-Ardenne;Corse;Franche-Comté;Haute-Normandie;Île-de-France;Languedoc-Roussillon;Limousin;Lorraine;Midi-Pyrénées;Nord-Pas-de-Calais;Provences-Alpes-Cote-d-Azur;Pays-de-la-Loire;Picardie;Poitou-Charentes;Rhône-Alpes
Athlétisme;28;33;41;33;27;43;40;48;49;27;36;34;29;40;32;33;30;34;54;41;37;31
Basketball;103;93;83;61;63;87;69;41;29;35;58;43;31;78;46;72;76;45;153;43;62;90
Équitation;104;115;102;135;115;114;125;116;99;118;129;93;109;105;114;119;101;98;110;140;134;109
Sports_sous_marins;22;20;18;20;17;26;20;18;39;17;19;27;23;12;20;22;14;29;18;16;19;24
Football;425;265;363;319;286;427;323;317;283;344;304;186;239;342;335;303;352;199;418;341;358;289
Golf;51;91;50;53;40;48;49;36;33;33;56;98;43;48;40;70;40;77;45;45;54;62
Gymnastique;96;32;46;44;51;33;45;49;39;45;74;41;32;24;49;36;39;37;34;41;47;44
Handball;105;85;54;104;64;90;75;71;94;91;84;49;86;77;85;51;38;75;88;65;102;53
Judo_jujitsu_et_disciplines_associées;89;100;80;92;89;90;101;79;82;93;98;90;77;83;99;89;74;75;86;106;91;86
Karaté_et_arts_martiaux_affinitaires;38;25;33;30;27;25;38;29;40;26;39;45;29;24;29;34;25;46;28;26;23;34
Natation;50;39;55;35;49;25;44;46;54;31;34;45;35;40;42;47;38;59;35;50;44;46
Pétanque_et_jeu_provençal;17;58;105;37;59;27;38;28;64;48;24;21;104;74;47;122;15;80;35;35;53;37
Randonnée_pédestre;6;41;20;22;40;48;49;19;6;25;33;22;51;30;27;43;21;51;37;20;51;35
Rugby;18;148;97;25;56;29;44;17;44;35;29;32;96;106;18;167;18;47;24;23;53;61
Ski;40;14;21;1;7;3;1;1;8;42;1;3;14;7;16;24;0;28;2;1;2;107
Tennis;158;191;156;147;127;140;176;134;122;129;164;212;188;135;148;174;120;198;154;147;157;184
Tennis_de_table;26;23;25;43;26;38;44;26;17;30;34;27;22;24;40;16;38;16;58;28;37;22
Tir;38;22;27;22;30;14;25;27;105;30;19;18;29;26;35;24;18;37;14;24;24;21
Voile;14;31;17;60;18;99;23;24;77;15;70;40;31;12;12;18;29;75;43;19;40;32
Autres_fédérations;291;378;276;256;274;317;308;232;230;281;246;252;350;248;243;351;222;320;296;249;281;367
Fédérations_multisports_affinitaires;822;704;798;669;586;1078;761;636;374;726;456;610;645;972;813;701;871;603;1096;679;740;906